Key,Present_in_EN,Present_in_NL,Present_in_FR,EN_Value,NL_Value,FR_Value,Status
"Achternaam",True,True,True,"Firstname","Achternaam","Nom de famille","UNTRANSLATED_NL"
"Actions",True,True,True,"Actions","Actie","Action","UNTRANSLATED_EN"
"Admin",True,True,True,"Admin","Admin","Admin","UNTRANSLATED_EN|UNTRANSLATED_NL|UNTRANSLATED_FR"
"Adres",True,True,True,"Adres","Adres","Adresse","UNTRANSLATED_EN|UNTRANSLATED_NL"
"AllBooks",True,True,True,"All books","Alle Boeken ","Tous les livres","OK"
"AllMembers",True,True,True,"All members","Alle Leden","Tous les membres","OK"
"AllRoles",True,True,True,"All roles","Alle Rollen","Tous les réles","OK"
"Auteur",True,True,True,"Author","Auteur","Auteur","UNTRANSLATED_NL|UNTRANSLATED_FR"
"Back",True,True,True,"Back","Terug","Retour","UNTRANSLATED_EN"
"Block",True,True,True,"Block","Blokkeren","Bloquer","UNTRANSLATED_EN"
"Blocked",True,True,True,"Blocked","Blokkeren","Bloqué","UNTRANSLATED_EN"
"Book",True,True,True,"Book","Boeken","Livres","UNTRANSLATED_EN"
"Books",True,True,True,"Books","Boeken","Livres","UNTRANSLATED_EN"
"BooksTitle",True,True,True,"Books","Boeken","Livres","OK"
"Books_Create_Cancel",True,True,True,"Cancel","Annuleer","Annulér","OK"
"Books_Create_Save",True,True,True,"Save","Opslaan","sauvegarder","OK"
"Books_Create_Title",True,True,True,"New book","Nieuw Boek","Nouveau Livre","OK"
"Books_Index_ColumnAuthor",True,True,True,"Author","Auteur","Auteur","OK"
"Books_Index_ColumnCategory",True,True,True,"Category","Categorie","Categorié","OK"
"Books_Index_ColumnIsbn",True,True,True,"ISBN","ISBN","ISBN","OK"
"Books_Index_ColumnTitle",True,True,True,"Title","Titel","Titre","OK"
"Books_Index_Delete",True,True,True,"Delete","Verwijderen","Supprimer","OK"
"Books_Index_Details",True,True,True,"Details","Details","Détail","OK"
"Books_Index_Edit",True,True,True,"Edit","Wijzigen","Changement","OK"
"Books_Index_New",True,True,True,"New","Nieuw","Nouveau","OK"
"Books_Index_SearchPlaceholder",True,True,True,"Search by title, author or ISBN","Zoek op titel, auteur of ISBN","Recherche par titre, auteur ou ISBN","OK"
"Books_Index_Title",True,True,True,"Books","Boeken","Livrés","OK"
"BookTitle",True,True,True,"Book","Boek","Livrés","OK"
"Cancel",True,True,True,"Cancel","Annuleren","Annuler","UNTRANSLATED_EN"
"Categorie",True,True,True,"Category","Categorie","Catégorie","UNTRANSLATED_NL"
"Categories",True,True,True,"Categories","Categorie","Catégories","UNTRANSLATED_EN"
"CategoriesTitle",True,True,True,"Categories","Categorie Titel"," Catégories Titre","OK"
"Category",True,True,True,"Category","Categorie","Categorié","UNTRANSLATED_EN"
"CategoryTitle",True,True,True,"Category","Categorie Titel","Categorié Titre","OK"
"ChangePassword",True,True,True,"Change password","Verander Wachtwoord","Changer le mot de passe","OK"
"ChooseCategory",True,True,True,"-- Choose category --","-- Kies Categorie --","-- Choisissez une catégorie --","OK"
"Code",True,True,True,"Code","Code","Code","UNTRANSLATED_EN|UNTRANSLATED_NL|UNTRANSLATED_FR"
